<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.10	08:00:00	1.02132	1.02186	1.02115	1.02116	1632	0	50
2022.08.10	09:00:00	1.02119	1.02145	1.02052	1.02115	3558	0	50
2022.08.10	10:00:00	1.02115	1.02181	1.02083	1.02107	5202	0	50
2022.08.10	11:00:00	1.02107	1.02260	1.02021	1.02224	5058	0	50
2022.08.10	12:00:00	1.02224	1.02309	1.02172	1.02273	3880	0	50
2022.08.10	13:00:00	1.02274	1.02453	1.02229	1.02418	3769	0	50
2022.08.10	14:00:00	1.02418	1.02610	1.02344	1.02585	4912	0	50
2022.08.10	15:00:00	1.02584	1.03458	1.02433	1.03242	13133	0	50
2022.08.10	16:00:00	1.03241	1.03351	1.03055	1.03223	14221	0	50
2022.08.10	17:00:00	1.03222	1.03567	1.03180	1.03552	13254	0	50
2022.08.10	18:00:00	1.03553	1.03688	1.03288	1.03337	9517	0	50
2022.08.10	19:00:00	1.03335	1.03358	1.03169	1.03251	6968	0	50
2022.08.10	20:00:00	1.03252	1.03284	1.03164	1.03167	5145	0	50
2022.08.10	21:00:00	1.03166	1.03191	1.03023	1.03038	7110	0	50
2022.08.10	22:00:00	1.03038	1.03058	1.02947	1.03036	4989	0	50
2022.08.10	23:00:00	1.03036	1.03036	1.02954	1.02988	2661	0	1
2022.08.11	00:00:00	1.02983	1.03003	1.02959	1.02992	3783	0	2
2022.08.11	01:00:00	1.02990	1.03047	1.02974	1.03019	1795	0	2
2022.08.11	02:00:00	1.03019	1.03026	1.02981	1.02987	2790	0	1
2022.08.11	03:00:00	1.02987	1.03037	1.02937	1.02981	3829	0	1
2022.08.11	04:00:00	1.02980	1.02980	1.02841	1.02882	4376	0	1
2022.08.11	05:00:00	1.02882	1.02886	1.02820	1.02834	3657	0	1
2022.08.11	06:00:00	1.02835	1.02916	1.02813	1.02885	2660	0	1
2022.08.11	07:00:00	1.02887	1.02933	1.02834	1.02834	2222	0	50
2022.08.11	08:00:00	1.02835	1.02855	1.02757	1.02819	3352	0	50
2022.08.11	09:00:00	1.02820	1.03141	1.02784	1.03119	7228	0	50
2022.08.11	10:00:00	1.03122	1.03323	1.03077	1.03256	7891	0	50
